Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
C02KGP61DNCV	mbda	SMG504GMAC-1	Mac OS X 10.10.5 (x86_64)	504G	5/26/2016 13:47	"Apple, Inc."	"iMac13,2"		6/28/2013 0:00	6/27/2016 0:00	mbda	Primary		504G
2UA8291Q2V	mdmeng	SMG664-4	Microsoft Windows 7 Professional	644	5/3/2016 14:50	Hewlett-Packard	HP xw4600 Workstation	AD\mdmeng	7/23/2008 0:00	8/26/2013 0:00	bickart	Shared		644
2UA8500SXP	mva	SMG649	Microsoft Windows 7 Professional		5/6/2016 1:14	Hewlett-Packard	HP xw4600 Workstation	AD\mva	12/12/2008 0:00	1/5/2014 0:00	mva	Primary		
MJXAAT0	wshpr	53BSR211	Microsoft Windows 7 Professional x64	211	5/28/2016 18:55	LENOVO	4524A61	AD\wshpr	6/16/2011 0:00	6/15/2015 0:00	abcohen	Shared		211
MJTMZGX	abello	QST-WD-0250	Microsoft Windows 7 Professional x64	133	11/16/2015 12:10	LENOVO	3212AV7	QST-WD-0250\istds-admin	9/17/2012 0:00	9/7/2016 0:00	abello	Secondary		133
MJYWGX6	mmacgarv	SMG518B	Microsoft Windows 7 Professional x64		4/5/2016 0:19	LENOVO	4524A61	AD\mmacgarv	7/2/2011 0:00	7/1/2015 0:00	mmacgarv	Primary		
R9KPYMC	yjortiz	QST-WL-0052	Microsoft Windows 7 Enterprise x64	340 E	5/28/2016 18:42	LENOVO	4243VKK	AD\yjortiz	12/31/2011 0:00	12/30/2015 0:00	cbarrett	Loaner		340 E
MJAHCAG	ccullati	SMG502B-1	Microsoft Windows 7 Professional x64		5/27/2016 12:44	LENOVO	4158VG3	AD\ccullati	8/13/2011 0:00	8/12/2015 0:00	ccullati	Primary		
MJAHCAH	amendez	SMG504D-1	Microsoft Windows 7 Professional x64		5/27/2016 11:26	LENOVO	4158VG3	AD\amendez	8/13/2011 0:00	8/12/2015 0:00	amendez	Primary		
C02L428KF6T6	nelee	SMG343AMACLT-1	Mac OS X 10.11.4 (x86_64)		5/22/2016 12:18	"Apple, Inc."	"MacBookAir6,2"		7/24/2013 0:00	7/23/2016 0:00	nelee	Primary		
2UA05023JY	efk	SMG629-9	Microsoft Windows 7 Professional x64		5/27/2016 13:52	Hewlett-Packard	HP Z200 Workstation	AD\efk	12/21/2010 0:00	1/24/2016 0:00	efk	Primary		
2CE930BCRN	williams	SMG572LT-2	Microsoft Windows 7 Professional		5/26/2016 15:18	Hewlett-Packard	HP EliteBook 6930p	AD\williams	8/4/2014 0:00	8/10/2013 0:00	williams	Secondary		
R8M3YZG	smguser	SMGLOANERLT-10	Microsoft Windows 7 Professional x64	340	5/3/2015 18:52	LENOVO	4236GG9	AD\smguser	7/10/2011 0:00	7/9/2015 0:00	cbarrett	loaner		340
